76.0,0,65
76.25,0,48
76.5,0,33
76.75,0,32
77.0,0,81
77.25,0,83
77.5,0,95
77.75,0,91
78.0,0,96
78.25,0,97
78.5,0,98
78.75,0,97
79.0,0,93
79.25,0,89
79.5,0,98
79.75,0,83
80.0,0,94
80.25,0,95
80.5,0,89
80.75,0,86
81.0,0,79
81.25,0,80
81.5,0,79
81.75,0,82
82.0,0,95
82.25,0,91
82.5,0,92
82.75,0,102
83.0,0,86
83.25,0,89
83.5,0,56
83.75,0,9
84.0,0,22
84.25,0,47
84.5,0,25
84.75,0,-23
85.0,0,-55
85.25,0,-45
85.5,0,19
85.75,0,1
86.0,0,19
86.25,0,9
86.5,0,69
86.75,0,-8
87.0,0,-20
87.25,0,-51
87.5,0,76
87.75,0,40
88.0,0,-8
88.25,0,8
88.5,0,65
88.75,0,70
89.0,0,58
89.25,0,42
89.5,0,-144
89.75,0,-84
90.0,0,-162
90.25,0,-161
90.5,0,-160
90.75,0,-159
91.0,0,-159
91.25,0,-158
91.5,0,-157
91.75,0,-157
92.0,0,-156
92.25,0,-157
92.5,0,-156
92.75,0,-156
93.0,0,-155
93.25,0,-153
93.5,0,-152
93.75,0,-151
94.0,0,-150
94.25,0,-149
94.5,0,-149
94.75,0,-148
95.0,0,-147
95.25,0,-147
95.5,0,-146
95.75,0,-146
96.0,0,-145
96.25,0,-145
96.5,0,-144
96.75,0,-144
97.0,0,-144
97.25,0,-143
97.5,0,-143
97.75,0,-142
98.0,0,-142
98.25,0,-142
98.5,0,-141
98.75,0,-141
99.0,0,-140
99.25,0,-141
99.5,0,-141
